kode_prov,kode_bps_2010,kode_bps_2014_x,kode_bps_2019,name_prov,name_kab_2014,name_kab_2019,dapil_2019,dapil 2014,change_14_19,name_kab_2010,Islam,Kristen,Katolik,Hindu,Budha,Khong Hu Chu,Lainnya,Tidak Terjawab,Tidak Ditanyakan,Jumlah
17,1701,1701,1701,Bengkulu,Bengkulu Selatan,Bengkulu Selatan,Bengkulu-at-large,Bengkulu-at-large,No Change,Bengkulu Selatan,140881,1469,229,18,19,0,0,152,172,142940
17,1702,1702,1702,Bengkulu,Rejang Lebong,Rejang Lebong,Bengkulu-at-large,Bengkulu-at-large,No Change,Rejang Lebong,241191,2156,1183,41,620,2,102,87,1405,246787
17,1703,1703,1703,Bengkulu,Bengkulu Utara,Bengkulu Utara,Bengkulu-at-large,Bengkulu-at-large,No Change,Bengkulu Utara,246848,7663,938,1522,109,2,6,77,510,257675
17,1704,1704,1704,Bengkulu,Kaur,Kaur,Bengkulu-at-large,Bengkulu-at-large,No Change,Kaur,107440,281,36,138,3,1,0,0,0,107899
17,1705,1705,1705,Bengkulu,Seluma,Seluma,Bengkulu-at-large,Bengkulu-at-large,No Change,Seluma,169655,2385,185,1144,3,0,3,33,99,173507
17,1706,1706,1706,Bengkulu,Mukomuko,Mukomuko,Bengkulu-at-large,Bengkulu-at-large,No Change,Mukomuko,150520,3684,668,229,42,0,1,599,10,155753
17,1707,1707,1707,Bengkulu,Lebong,Lebong,Bengkulu-at-large,Bengkulu-at-large,No Change,Lebong,98377,354,74,0,6,0,0,402,2,99215
17,1708,1708,1708,Bengkulu,Kepahiang,Kepahiang,Bengkulu-at-large,Bengkulu-at-large,No Change,Kepahiang,123377,571,176,201,110,11,0,69,350,124865
17,1709,1709,1709,Bengkulu,Bengkulu Tengah,Bengkulu Tengah,Bengkulu-at-large,Bengkulu-at-large,No Change,Bengkulu Tengah,96344,1021,381,253,169,0,4,4,157,98333
17,1771,1771,1771,Bengkulu,Bengkulu,Bengkulu,Bengkulu-at-large,Bengkulu-at-large,No Change,Kota Bengkulu,294448,9140,2494,181,1092,25,14,115,1035,308544
18,1801,1801,1801,Lampung,Lampung Barat,Lampung Barat,Lampung-01,Lampung-01,No Change,Lampung Barat,412683,2751,532,1760,173,0,25,774,339,419037
18,1802,1802,1802,Lampung,Tanggamus,Tanggamus,Lampung-01,Lampung-01,No Change,Tanggamus,530331,1560,2492,772,387,26,14,310,721,536613
18,1803,1803,1803,Lampung,Lampung Selatan,Lampung Selatan,Lampung-01,Lampung-01,No Change,Lampung Selatan,873654,12829,5598,15014,1116,34,129,267,3849,912490
18,1804,1804,1804,Lampung,Lampung Timur,Lampung Timur,Lampung-02,Lampung-02,No Change,Lampung Timur,913200,13247,5909,16513,2236,49,22,130,333,951639
18,1805,1805,1805,Lampung,Lampung Tengah,Lampung Tengah,Lampung-02,Lampung-02,No Change,Lampung Tengah,1093801,15815,14715,40379,1818,54,55,0,4080,1170717
18,1806,1806,1806,Lampung,Lampung Utara,Lampung Utara,Lampung-02,Lampung-02,No Change,Lampung Utara,570594,6160,3989,2416,662,33,8,48,367,584277
18,1807,1807,1807,Lampung,Way Kanan,Way Kanan,Lampung-02,Lampung-02,No Change,Way Kanan,386262,4265,3169,11784,200,6,119,259,59,406123
18,1808,1808,1808,Lampung,Tulang Bawang,Tulang Bawang,Lampung-02,Lampung-02,No Change,Tulangbawang,375274,7847,2724,10686,357,19,21,726,252,397906
18,1809,1809,1809,Lampung,Pesawaran,Pesawaran,Lampung-01,Lampung-01,No Change,Pesawaran,389577,3618,2183,359,1467,8,30,0,1606,398848
18,1810,1810,1810,Lampung,Pringsewu,Pringsewu,Lampung-01,Lampung-01,No Change,Pringsewu,350297,2875,7316,2561,599,21,188,29,1483,365369
18,1811,1811,1811,Lampung,Mesuji,Mesuji,Lampung-02,Lampung-02,No Change,Mesuji,178733,2599,658,4742,192,3,15,465,0,187407
18,1812,1812,1812,Lampung,Tulang Bawang Barat,Tulang Bawang Barat,Lampung-02,Lampung-02,No Change,Tulangbawang Barat,238659,6601,1969,3015,311,11,6,133,2,250707
18,1801,1813,1813,Lampung,Pesisir Barat,Pesisir Barat,Lampung-01,Lampung-01,No Change,Lampung Barat,412683,2751,532,1760,173,0,25,774,339,419037
18,1871,1871,1871,Lampung,Bandar Lampung,Bandar Lampung,Lampung-01,Lampung-01,No Change,Kota Bandar Lampung,816807,31345,14049,3111,13016,326,32,297,2818,881801
18,1872,1872,1872,Lampung,Metro,Metro,Lampung-01,Lampung-01,No Change,Kota Metro,134911,3743,3711,400,1588,6,0,4,1108,145471
19,1901,1901,1901,Kepulauan Bangka Belitung,Bangka,Bangka,Babel-at-large,Babel-at-large,No Change,Bangka,234992,5827,2567,23,16592,15715,307,125,1056,277204
19,1902,1902,1902,Kepulauan Bangka Belitung,Belitung,Belitung,Babel-at-large,Babel-at-large,No Change,Belitung,143051,2198,873,672,8784,98,4,34,251,155965
19,1903,1903,1903,Kepulauan Bangka Belitung,Bangka Barat,Bangka Barat,Babel-at-large,Babel-at-large,No Change,Bangka Barat,158881,2246,729,20,5374,5885,2,34,1979,175150
19,1904,1904,1904,Kepulauan Bangka Belitung,Bangka Tengah,Bangka Tengah,Babel-at-large,Babel-at-large,No Change,Bangka Tengah,140173,3694,3999,31,5373,7765,0,137,56,161228
19,1905,1905,1905,Kepulauan Bangka Belitung,Bangka Selatan,Bangka Selatan,Babel-at-large,Babel-at-large,No Change,Bangka Selatan,166085,1018,724,209,1859,2228,3,382,20,172528
19,1906,1906,1906,Kepulauan Bangka Belitung,Belitung Timur,Belitung Timur,Babel-at-large,Babel-at-large,No Change,Belitung Timur,101765,1106,232,8,3093,132,6,59,62,106463
19,1971,1971,1971,Kepulauan Bangka Belitung,Pangkal Pinang,Pangkal Pinang,Babel-at-large,Babel-at-large,No Change,Kota Pangkal Pinang,143844,5964,5614,77,10807,7967,1,91,393,174758
21,2101,2101,2101,Kepulauan Riau,Karimun,Karimun,Kepri-at-large,Kepri-at-large,No Change,Karimun,179006,7529,2284,31,22650,629,23,6,403,212561
