kode_prov;kode_bps_2014;kode_bps_2019;name_prov;name_kab_2014;name_kab_2019;dapil_2019;dapil 2014;change_14_19
35;3511;3511;Jawa Timur;Bondowoso;Bondowoso;Jatim-03;Jatim-03;No Change
35;3512;3512;Jawa Timur;Situbondo;Situbondo;Jatim-03;Jatim-03;No Change
35;3513;3513;Jawa Timur;Probolinggo;Probolinggo;Jatim-02;Jatim-02;No Change
35;3514;3514;Jawa Timur;Pasuruan;Pasuruan;Jatim-02;Jatim-02;No Change
35;3515;3515;Jawa Timur;Sidoarjo;Sidoarjo;Jatim-01;Jatim-01;No Change
35;3516;3516;Jawa Timur;Mojokerto;Mojokerto;Jatim-08;Jatim-08;No Change
35;3517;3517;Jawa Timur;Jombang;Jombang;Jatim-08;Jatim-08;No Change
35;3518;3518;Jawa Timur;Nganjuk;Nganjuk;Jatim-08;Jatim-08;No Change
35;3519;3519;Jawa Timur;Madiun;Madiun;Jatim-08;Jatim-08;No Change
35;3520;3520;Jawa Timur;Magetan;Magetan;Jatim-07;Jatim-07;No Change
35;3521;3521;Jawa Timur;Ngawi;Ngawi;Jatim-07;Jatim-07;No Change
35;3522;3522;Jawa Timur;Bojonegoro;Bojonegoro;Jatim-09;Jatim-09;No Change
35;3523;3523;Jawa Timur;Tuban;Tuban;Jatim-09;Jatim-09;No Change
35;3524;3524;Jawa Timur;Lamongan;Lamongan;Jatim-10;Jatim-10;No Change
35;3525;3525;Jawa Timur;Gresik;Gresik;Jatim-10;Jatim-10;No Change
35;3526;3526;Jawa Timur;Bangkalan;Bangkalan;Jatim-11;Jatim-11;No Change
35;3527;3527;Jawa Timur;Sampang;Sampang;Jatim-11;Jatim-11;No Change
35;3528;3528;Jawa Timur;Pamekasan;Pamekasan;Jatim-11;Jatim-11;No Change
35;3529;3529;Jawa Timur;Sumenep;Sumenep;Jatim-11;Jatim-11;No Change
35;3571;3571;Jawa Timur;Kediri;Kediri;Jatim-06;Jatim-06;No Change
35;3572;3572;Jawa Timur;Blitar;Blitar;Jatim-06;Jatim-06;No Change
35;3573;3573;Jawa Timur;Malang;Malang;Jatim-05;Jatim-05;No Change
35;3574;3574;Jawa Timur;Probolinggo;Probolinggo;Jatim-02;Jatim-02;No Change
35;3575;3575;Jawa Timur;Pasuruan;Pasuruan;Jatim-02;Jatim-02;No Change
35;3576;3576;Jawa Timur;Mojokerto;Mojokerto;Jatim-08;Jatim-08;No Change
35;3577;3577;Jawa Timur;Madiun;Madiun;Jatim-08;Jatim-08;No Change
35;3578;3578;Jawa Timur;Surabaya;Surabaya;Jatim-01;Jatim-01;No Change
35;3579;3579;Jawa Timur;Batu;Batu;Jatim-05;Jatim-05;No Change
36;3601;3601;Banten;Pandeglang;Pandeglang;Banten-01;Banten-01;No Change
36;3602;3602;Banten;Lebak;Lebak;Banten-01;Banten-01;No Change
36;3603;3603;Banten;Tangerang;Tangerang;Banten-03;Banten-03;No Change
36;3604;3604;Banten;Serang;Serang;Banten-02;Banten-02;No Change
36;3671;3671;Banten;Tangerang;Tangerang;Banten-03;Banten-03;No Change
36;3672;3672;Banten;Cilegon;Cilegon;Banten-02;Banten-02;No Change
36;3673;3673;Banten;Serang;Serang;Banten-02;Banten-02;No Change
36;3674;3674;Banten;Tangerang Selatan;Tangerang Selatan;Banten-03;Banten-03;No Change
51;5101;5101;Bali;Jembrana;Jembrana;Bali-at-large;Bali-at-large;No Change
51;5102;5102;Bali;Tabanan;Tabanan;Bali-at-large;Bali-at-large;No Change
51;5103;5103;Bali;Badung;Badung;Bali-at-large;Bali-at-large;No Change
51;5104;5104;Bali;Gianyar;Gianyar;Bali-at-large;Bali-at-large;No Change
